bharatambati	Ambati	Bharat Ram	Apple Inc.
rachelbawden	Bawden	Rachel	Université Paris-Sud
bisk1	Bisk	Yonatan	University of Washington
dcard	Card	Dallas	Carnegie Mellon University
wanxiang	Che	Wanxiang	Harbin Institute of Technology
monojit	Choudhury	Monojit	Microsoft Research
mdiab	Diab	Mona	George Washington University
dodgejesse	Dodge	Jesse	Carnegie Mellon University
bdorr	Dorr	Bonnie	Florida Institute for Human-Machine Cognition
elgohary	Elgohary	Ahmed	University of Maryland, College Park
melsner	Elsner	Micha	The Ohio State University
noura	Farra	Noura	Columbia University
tfrancois	François	Thomas	Université catholique de Louvain
dpfried	Fried	Daniel	University of California, Berkeley
debanjan	Ghosh	Debanjan	Rutgers University
kgimpel	Gimpel	Kevin	Toyota Technological Institute at Chicago
grishman	Grishman	Ralph	New York University
alvin	Grissom II	Alvin	Ursinus College
jiangfeng1124	Guo	Jiang	Massachusetts Institute of Technology
luheng	He	Luheng	University of Washington
jmhessel	Hessel	Jack	Cornell University
dirkh1981	Hovy	Dirk	Bocconi University
miyyer	Iyyer	Mohit	Allen Institute for Artificial Intelligence
yacine.jernite	Jernite	Yacine	New York University
maxwellturing	Ji	Yangfeng	University of Washington
kjokinen	Jokinen	Kristiina	University of Helsinki
dk	Kawahara	Daisuke	Kyoto University
kedz	Kedzie	Chris	Columbia University
pkoehn	Koehn	Philipp	Johns Hopkins University
jkk	Kummerfeld	Jonathan K.	University of Michigan
koeper	Köper	Maximilian	University of Stuttgart
eric.laporte	Laporte	Éric	Université Paris-Est Marne-la-Vallée
slevitan	Levitan	Sarah Ita	Columbia University
jasyliew	Liew	Jasy Suet Yan	Universiti Sains Malaysia
litman	Litman	Diane	University of Pittsburgh
slukin	Lukin	Stephanie M.	US Army Research Laboratory
shervin	Malmasi	Shervin	Harvard Medical School
diego.marcheggiani	Marcheggiani	Diego	University of Amsterdam
marcu	Marcu	Daniel	University of Southern California
mitchmarcus	Marcus	Mitchell	University of Pennsylvania
prashant	Mathur	Prashant	eBay
kathy	McKeown	Kathy	Columbia University
jmedero	Medero	Julie	Harvey Mudd College
amitamisra	Misra	Amita	University of California,Santa Cruz
saifm	Mohammad	Saif M.	National Research Council Canada
tsmoon	Moon	Taesun	IBM Research
smuresan	Muresan	Smaranda	Columbia University
karthikn	Narasimhan	Karthik	Massachusetts Institute of Technology
shashinarayan	Narayan	Shashi	University of Edinburgh
gneubig	Neubig	Graham	Carnegie Mellon University
avineshpvs	P.V.S.	Avinesh	Technische Universität Darmstadt
yannick.parmentier	Parmentier	Yannick	University of Lorraine
gpenn	Penn	Gerald	University of Toronto
poesio	Poesio	Massimo	Queen Mary University of London
cgpotts	Potts	Christopher	Stanford University
daniel.preotiuc	Preoţiuc-Pietro	Daniel	University of Pennsylvania
emctucker	Prud'hommeaux	Emily	Boston College
raosudha89	Rao	Sudha	University Of Maryland, College Park
rasoolims	Rasooli	Mohammad Sadegh	Columbia University
microth	Roth	Michael	Saarland University
masaers	Saers	Markus	Hong Kong University of Science and Technology
david.schlangen	Schlangen	David	Bielefeld University
minjoon	Seo	Minjoon	University of Washington
kevinsmall	Small	Kevin	Amazon
sandeepsoni	Soni	Sandeep	Georgia Institute of Technology
ian.b.stewart.14	Stewart	Ian	Georgia Institute of Technology
alsuhr	Suhr	Alane	Cornell University
shyamupa	Upadhyay	Shyam	University of Pennsylvania
svajjala	Vajjala	Sowmya	Iowa State University
bonnie	Webber	Bonnie	University of Edinburgh
wieting2	Wieting	John	Carnegie Mellon University
adinawilliams	Williams	Adina	New York University
diyiy	Yang	Diyi	Carnegie Mellon University
justine	Zhang	Justine	Cornell University
mszhang	Zhang	Meishan	Heilongjiang University
ranzhao1	Zhao	Ran	Carnegie Mellon University
